Treatment,Cage,Date,Syrup,Water,Pollen
Fumagilin,1,8/19/2014,26,37,9
Fumagilin,1,8/21/2014,28,63,3
Fumagilin,1,8/23/2014,25,42,2
Fumagilin,1,8/25/2014,21,52,3
Fumagilin,1,8/27/2014,16,53,
Fumagilin,1,8/29/2014,26,45,
Fumagilin,1,8/31/2014,18,39,
Fumagilin,1,9/2/2014,18,25,
Fumagilin,1,9/4/2014,19,36,
Fumagilin,1,9/6/2014,12,41,
Fumagilin,1,9/8/2014,15,34,
Fumagilin,1,9/9/2014,8,36,
Fumagilin,2,8/19/2014,25,65,10
Fumagilin,2,8/21/2014,22,73,3
Fumagilin,2,8/23/2014,23,72,1
Fumagilin,2,8/25/2014,21,80,1
Fumagilin,2,8/27/2014,18,69,
Fumagilin,2,8/29/2014,18,63,
Fumagilin,2,8/31/2014,14,67,
Fumagilin,2,9/2/2014,12,51,
Fumagilin,2,9/4/2014,12,72,
Fumagilin,2,9/6/2014,10,63,
Fumagilin,2,9/8/2014,10,41,
Fumagilin,2,9/9/2014,7,30,
Fumagilin,3,8/19/2014,25,48,10
Fumagilin,3,8/21/2014,24,43,2
Fumagilin,3,8/23/2014,24,41,2
Fumagilin,3,8/25/2014,25,25,
Fumagilin,3,8/27/2014,22,35,
Fumagilin,3,8/29/2014,18,31,
Fumagilin,3,8/31/2014,11,44,
Fumagilin,3,9/2/2014,6,21,
Fumagilin,3,9/4/2014,8,26,
Fumagilin,3,9/6/2014,,,
Fumagilin,3,9/8/2014,,,
Fumagilin,3,9/9/2014,,,
Fumagilin,4,8/19/2014,25,55,8
Fumagilin,4,8/21/2014,23,45,3
Fumagilin,4,8/23/2014,25,48,2
Fumagilin,4,8/25/2014,25,37,2
Fumagilin,4,8/27/2014,22,42,
Fumagilin,4,8/29/2014,22,43,
Fumagilin,4,8/31/2014,16,39,
Fumagilin,4,9/2/2014,17,34,
Fumagilin,4,9/4/2014,15,40,
Fumagilin,4,9/6/2014,12,38,
Fumagilin,4,9/8/2014,12,37,
Fumagilin,4,9/9/2014,7,36,
Fumagilin,5,8/19/2014,24,63,11
Fumagilin,5,8/21/2014,25,71,3
Fumagilin,5,8/23/2014,29,56,1
Fumagilin,5,8/25/2014,22,60,2
Fumagilin,5,8/27/2014,26,68,
Fumagilin,5,8/29/2014,23,60,
Fumagilin,5,8/31/2014,21,37,
Fumagilin,5,9/2/2014,20,53,
Fumagilin,5,9/4/2014,19,44,
Fumagilin,5,9/6/2014,13,57,
Fumagilin,5,9/8/2014,13,73,
Fumagilin,5,9/9/2014,9,25,
Honey-B-Healthy,6,8/19/2014,29,48,10
Honey-B-Healthy,6,8/21/2014,28,50,3
Honey-B-Healthy,6,8/23/2014,27,43,2
Honey-B-Healthy,6,8/25/2014,25,31,2
Honey-B-Healthy,6,8/27/2014,24,35,
Honey-B-Healthy,6,8/29/2014,22,35,
Honey-B-Healthy,6,8/31/2014,19,36,
Honey-B-Healthy,6,9/2/2014,19,35,
Honey-B-Healthy,6,9/4/2014,19,43,
Honey-B-Healthy,6,9/6/2014,14,35,
Honey-B-Healthy,6,9/8/2014,15,27,
Honey-B-Healthy,6,9/9/2014,7,25,
Honey-B-Healthy,7,8/19/2014,25,57,8
Honey-B-Healthy,7,8/21/2014,24,35,2
Honey-B-Healthy,7,8/23/2014,22,53,1
Honey-B-Healthy,7,8/25/2014,23,36,2
Honey-B-Healthy,7,8/27/2014,22,43,
Honey-B-Healthy,7,8/29/2014,22,35,
Honey-B-Healthy,7,8/31/2014,13,44,
Honey-B-Healthy,7,9/2/2014,14,30,
Honey-B-Healthy,7,9/4/2014,15,39,
Honey-B-Healthy,7,9/6/2014,12,36,
Honey-B-Healthy,7,9/8/2014,13,36,
Honey-B-Healthy,7,9/9/2014,6,29,
Honey-B-Healthy,8,8/19/2014,20,61,10
Honey-B-Healthy,8,8/21/2014,26,38,2
Honey-B-Healthy,8,8/23/2014,23,35,2
Honey-B-Healthy,8,8/25/2014,19,55,1
Honey-B-Healthy,8,8/27/2014,21,36,
Honey-B-Healthy,8,8/29/2014,18,38,
Honey-B-Healthy,8,8/31/2014,15,32,
Honey-B-Healthy,8,9/2/2014,16,26,
Honey-B-Healthy,8,9/4/2014,14,33,
Honey-B-Healthy,8,9/6/2014,12,35,
Honey-B-Healthy,8,9/8/2014,11,47,
Honey-B-Healthy,8,9/9/2014,6,17,
Honey-B-Healthy,9,8/19/2014,24,58,10
Honey-B-Healthy,9,8/21/2014,25,60,2
Honey-B-Healthy,9,8/23/2014,24,71,1
Honey-B-Healthy,9,8/25/2014,21,66,2
Honey-B-Healthy,9,8/27/2014,22,61,
Honey-B-Healthy,9,8/29/2014,22,62,
Honey-B-Healthy,9,8/31/2014,16,45,
Honey-B-Healthy,9,9/2/2014,16,43,
Honey-B-Healthy,9,9/4/2014,16,69,
Honey-B-Healthy,9,9/6/2014,14,63,
Honey-B-Healthy,9,9/8/2014,13,60,
Honey-B-Healthy,9,9/9/2014,9,44,
Honey-B-Healthy,10,8/19/2014,29,36,8
Honey-B-Healthy,10,8/21/2014,30,27,2
Honey-B-Healthy,10,8/23/2014,23,49,1
Honey-B-Healthy,10,8/25/2014,22,26,1
Honey-B-Healthy,10,8/27/2014,22,27,
Honey-B-Healthy,10,8/29/2014,18,26,
Honey-B-Healthy,10,8/31/2014,9,38,
Honey-B-Healthy,10,9/2/2014,9,19,
Honey-B-Healthy,10,9/4/2014,14,28,
Honey-B-Healthy,10,9/6/2014,10,31,
Honey-B-Healthy,10,9/8/2014,8,36,
Honey-B-Healthy,10,9/9/2014,7,30,
Nozevit Plus,11,8/19/2014,22,49,10
Nozevit Plus,11,8/21/2014,27,53,3
Nozevit Plus,11,8/23/2014,18,78,2
Nozevit Plus,11,8/25/2014,18,35,2
Nozevit Plus,11,8/27/2014,20,40,
Nozevit Plus,11,8/29/2014,20,43,
Nozevit Plus,11,8/31/2014,13,45,
Nozevit Plus,11,9/2/2014,15,42,
Nozevit Plus,11,9/4/2014,14,41,
Nozevit Plus,11,9/6/2014,11,44,
Nozevit Plus,11,9/8/2014,11,45,
Nozevit Plus,11,9/9/2014,6,24,
Nozevit Plus,12,8/19/2014,30,56,11
Nozevit Plus,12,8/21/2014,28,45,3
Nozevit Plus,12,8/23/2014,23,49,1
Nozevit Plus,12,8/25/2014,23,45,1
Nozevit Plus,12,8/27/2014,22,52,
Nozevit Plus,12,8/29/2014,22,52,
Nozevit Plus,12,8/31/2014,17,49,
Nozevit Plus,12,9/2/2014,16,36,
Nozevit Plus,12,9/4/2014,14,59,
Nozevit Plus,12,9/6/2014,10,51,
Nozevit Plus,12,9/8/2014,11,59,
Nozevit Plus,12,9/9/2014,7,25,
Nozevit Plus,13,8/19/2014,26,63,9
Nozevit Plus,13,8/21/2014,25,54,3
Nozevit Plus,13,8/23/2014,23,49,3
Nozevit Plus,13,8/25/2014,22,46,1
Nozevit Plus,13,8/27/2014,22,47,
Nozevit Plus,13,8/29/2014,20,51,
Nozevit Plus,13,8/31/2014,7,47,
Nozevit Plus,13,9/2/2014,18,31,
Nozevit Plus,13,9/4/2014,19,45,
Nozevit Plus,13,9/6/2014,11,47,
Nozevit Plus,13,9/8/2014,12,53,
Nozevit Plus,13,9/9/2014,8,18,
Nozevit Plus,14,8/19/2014,25,51,9
Nozevit Plus,14,8/21/2014,27,45,2
Nozevit Plus,14,8/23/2014,20,47,2
Nozevit Plus,14,8/25/2014,20,45,2
Nozevit Plus,14,8/27/2014,22,42,
Nozevit Plus,14,8/29/2014,20,36,
Nozevit Plus,14,8/31/2014,14,31,
Nozevit Plus,14,9/2/2014,17,23,
Nozevit Plus,14,9/4/2014,17,31,
Nozevit Plus,14,9/6/2014,11,45,
Nozevit Plus,14,9/8/2014,14,37,
Nozevit Plus,14,9/9/2014,8,24,
Nozevit Plus,15,8/19/2014,25,41,10
Nozevit Plus,15,8/21/2014,26,43,3
Nozevit Plus,15,8/23/2014,26,45,2
Nozevit Plus,15,8/25/2014,21,42,1
Nozevit Plus,15,8/27/2014,24,31,
Nozevit Plus,15,8/29/2014,25,40,
Nozevit Plus,15,8/31/2014,18,34,
Nozevit Plus,15,9/2/2014,17,33,
Nozevit Plus,15,9/4/2014,18,32,
Nozevit Plus,15,9/6/2014,15,35,
Nozevit Plus,15,9/8/2014,13,42,
Nozevit Plus,15,9/9/2014,9,18,
Control,16,8/19/2014,25,51,9
Control,16,8/21/2014,26,44,2
Control,16,8/23/2014,27,37,2
Control,16,8/25/2014,23,33,3
Control,16,8/27/2014,20,33,
Control,16,8/29/2014,25,36,
Control,16,8/31/2014,17,48,
Control,16,9/2/2014,19,29,
Control,16,9/4/2014,19,41,
Control,16,9/6/2014,15,49,
Control,16,9/8/2014,15,46,
Control,16,9/9/2014,9,22,
Control,17,8/19/2014,25,80,10
Control,17,8/21/2014,25,55,3
Control,17,8/23/2014,27,33,1
Control,17,8/25/2014,21,36,1
Control,17,8/27/2014,21,44,
Control,17,8/29/2014,22,36,
Control,17,8/31/2014,19,31,
Control,17,9/2/2014,21,31,
Control,17,9/4/2014,16,11,
Control,17,9/6/2014,12,42,
Control,17,9/8/2014,12,41,
Control,17,9/9/2014,7,20,
Control,18,8/19/2014,24,63,10
Control,18,8/21/2014,27,65,3
Control,18,8/23/2014,23,67,2
Control,18,8/25/2014,21,45,2
Control,18,8/27/2014,22,58,
Control,18,8/29/2014,21,67,
Control,18,8/31/2014,14,45,
Control,18,9/2/2014,16,55,
Control,18,9/4/2014,14,63,
Control,18,9/6/2014,13,55,
Control,18,9/8/2014,10,72,
Control,18,9/9/2014,7,29,
Control,19,8/19/2014,25,56,8
Control,19,8/21/2014,26,60,3
Control,19,8/23/2014,22,44,1
Control,19,8/25/2014,22,36,1
Control,19,8/27/2014,19,53,
Control,19,8/29/2014,22,44,
Control,19,8/31/2014,15,34,
Control,19,9/2/2014,18,25,
Control,19,9/4/2014,17,40,
Control,19,9/6/2014,13,35,
Control,19,9/8/2014,13,35,
Control,19,9/9/2014,9,18,
Control,20,8/19/2014,27,44,10
Control,20,8/21/2014,27,35,2
Control,20,8/23/2014,26,42,1
Control,20,8/25/2014,23,42,1
Control,20,8/27/2014,22,33,
Control,20,8/29/2014,22,37,
Control,20,8/31/2014,18,35,
Control,20,9/2/2014,20,23,
Control,20,9/4/2014,20,40,
Control,20,9/6/2014,15,26,
Control,20,9/8/2014,15,40,
Control,20,9/9/2014,6,19,
