Treatment,Colony,Time,Spores,SporesRaw,Prev
Nozevit2,1,0,600000,12,1
Nozevit2,2,0,1300000,26,1
Control,4,0,750000,15,1
Control,5,0,1000000,20,1
Fumigilin4,6,0,400000,8,1
Fumigilin4,8,0,500000,10,1
Control,9,0,600000,12,1
Control,10,0,1100000,22,1
Nozevit2,13,0,800000,16,1
Control,14,0,450000,9,1
Nozevit4,16,0,400000,8,1
Fumigilin2,17,0,750000,15,1
Fumigilin2,18,0,800000,16,1
Fumigilin2,19,0,1350000,27,1
Control,20,0,350000,7,1
Control,21,0,1300000,26,1
Fumigilin2,23,0,1050000,21,1
Nozevit4,24,0,2450000,49,1
Control,25,0,550000,11,1
Fumigilin2,26,0,1800000,36,1
Nozevit2,28,0,400000,8,1
Fumigilin2,29,0,600000,12,1
Nozevit4,30,0,500000,10,1
Fumigilin4,31,0,1600000,32,1
Fumigilin4,33,0,700000,14,1
Nozevit2,35,0,2450000,49,1
Nozevit4,36,0,1350000,27,1
Control,37,0,600000,12,1
Fumigilin2,38,0,1500000,30,1
Fumigilin2,39,0,400000,8,1
Fumigilin4,40,0,1700000,34,1
Nozevit2,41,0,1450000,29,1
Nozevit2,42,0,2100000,42,1
Fumigilin4,43,0,2100000,42,1
Nozevit2,45,0,1050000,21,1
Nozevit4,46,0,3000000,60,1
Nozevit2,47,0,950000,19,1
Fumigilin2,48,0,800000,16,1
Fumigilin4,49,0,2600000,52,1
Nozevit4,50,0,2100000,42,1
Nozevit4,51,0,1350000,27,1
Fumigilin4,52,0,850000,17,1
Nozevit4,53,0,600000,12,1
Nozevit2,54,0,3050000,61,1
Control,55,0,1450000,29,1
Nozevit4,56,0,650000,13,1
Fumigilin4,57,0,650000,13,1
Nozevit4,58,0,500000,10,1
Fumigilin4,59,0,1950000,39,1
Fumigilin2,60,0,2400000,48,1
Nozevit2,1,1,50000,1,1
Nozevit2,2,1,0,0,0
Control,4,1,50000,1,1
Control,5,1,700000,14,1
Fumigilin4,6,1,50000,1,1
Fumigilin4,8,1,0,0,0
Control,9,1,250000,5,1
Control,10,1,950000,19,1
Nozevit2,13,1,900000,18,1
Control,14,1,150000,3,1
Nozevit4,16,1,100000,2,1
Fumigilin2,17,1,0,0,0
Fumigilin2,18,1,50000,1,1
Fumigilin2,19,1,100000,2,1
Control,20,1,0,0,0
Control,21,1,550000,11,1
Fumigilin2,23,1,0,0,0
Nozevit4,24,1,450000,9,1
Control,25,1,400000,8,1
Fumigilin2,26,1,50000,1,1
Nozevit2,28,1,600000,12,1
Fumigilin2,29,1,350000,7,1
Nozevit4,30,1,0,0,0
Fumigilin4,31,1,50000,1,1
Fumigilin4,33,1,450000,9,1
Nozevit2,35,1,0,0,0
Nozevit4,36,1,50000,1,1
Control,37,1,250000,5,1
Fumigilin2,38,1,500000,10,1
Fumigilin2,39,1,0,0,0
Fumigilin4,40,1,0,0,0
Nozevit2,41,1,50000,1,1
Nozevit2,42,1,950000,19,1
Fumigilin4,43,1,,0,0
Nozevit2,45,1,150000,3,1
Nozevit4,46,1,1700000,34,1
Nozevit2,47,1,750000,15,1
Fumigilin2,48,1,0,0,0
Fumigilin4,49,1,1600000,32,1
Nozevit4,50,1,250000,5,1
Nozevit4,51,1,100000,2,1
Fumigilin4,52,1,0,0,0
Nozevit4,53,1,550000,11,1
Nozevit2,54,1,1800000,36,1
Control,55,1,50000,1,1
Nozevit4,56,1,450000,9,1
Fumigilin4,57,1,0,0,0
Nozevit4,58,1,100000,2,1
Fumigilin4,59,1,400000,8,1
Fumigilin2,60,1,0,0,0
Nozevit2,1,2,1850000,37,1
Nozevit2,2,2,250000,5,1
Control,4,2,350000,7,1
Control,5,2,0,0,0
Fumigilin4,6,2,0,0,0
Fumigilin4,8,2,0,0,0
Control,9,2,200000,4,1
Control,10,2,0,0,0
Nozevit2,13,2,1550000,31,1
Control,14,2,100000,2,1
Nozevit4,16,2,1350000,27,1
Fumigilin2,17,2,900000,18,1
Fumigilin2,18,2,0,0,0
Fumigilin2,19,2,300000,6,1
Control,20,2,0,0,0
Control,21,2,400000,8,1
Fumigilin2,23,2,600000,12,1
Nozevit4,24,2,2750000,55,1
Control,25,2,950000,19,1
Fumigilin2,26,2,750000,15,1
Nozevit2,28,2,600000,12,1
Fumigilin2,29,2,0,0,0
Nozevit4,30,2,50000,1,1
Fumigilin4,31,2,600000,12,1
Fumigilin4,33,2,1450000,29,1
Nozevit2,35,2,100000,2,1
Nozevit4,36,2,500000,10,1
Control,37,2,0,0,0
Fumigilin2,38,2,200000,4,1
Fumigilin2,39,2,450000,9,1
Fumigilin4,40,2,150000,3,1
Nozevit2,41,2,0,0,0
Nozevit2,42,2,150000,3,1
Fumigilin4,43,2,0,0,0
Nozevit2,45,2,50000,1,1
Nozevit4,46,2,0,0,0
Nozevit2,47,2,150000,3,1
Fumigilin2,48,2,50000,1,1
Fumigilin4,49,2,50000,1,1
Nozevit4,50,2,50000,1,1
Nozevit4,51,2,50000,1,1
Fumigilin4,52,2,0,0,0
Nozevit4,53,2,200000,4,1
Nozevit2,54,2,150000,3,1
Control,55,2,750000,15,1
Nozevit4,56,2,0,0,0
Fumigilin4,57,2,350000,7,1
Nozevit4,58,2,200000,4,1
Fumigilin4,59,2,300000,6,1
Fumigilin2,60,2,200000,4,1
Nozevit2,1,3,400000,8,1
Nozevit2,2,3,550000,11,1
Control,4,3,200000,4,1
Control,5,3,250000,5,1
Fumigilin4,6,3,400000,8,1
Fumigilin4,8,3,800000,16,1
Control,9,3,150000,3,1
Control,10,3,0,0,0
Nozevit2,13,3,200000,4,1
Control,14,3,700000,14,1
Nozevit4,16,3,50000,1,1
Fumigilin2,17,3,1000000,20,1
Fumigilin2,18,3,50000,1,1
Fumigilin2,19,3,750000,15,1
Control,20,3,100000,2,1
Control,21,3,150000,3,1
Fumigilin2,23,3,350000,7,1
Nozevit4,24,3,,,
Control,25,3,750000,15,1
Fumigilin2,26,3,,,
Nozevit2,28,3,1000000,20,1
Fumigilin2,29,3,1100000,22,1
Nozevit4,30,3,700000,14,1
Fumigilin4,31,3,450000,9,1
Fumigilin4,33,3,,,
Nozevit2,35,3,800000,16,1
Nozevit4,36,3,0,0,0
Control,37,3,0,0,0
Fumigilin2,38,3,150000,3,1
Fumigilin2,39,3,100000,2,1
Fumigilin4,40,3,300000,6,1
Nozevit2,41,3,0,0,0
Nozevit2,42,3,1400000,28,1
Fumigilin4,43,3,,,
Nozevit2,45,3,0,0,0
Nozevit4,46,3,,,
Nozevit2,47,3,50000,1,1
Fumigilin2,48,3,700000,14,1
Fumigilin4,49,3,50000,1,1
Nozevit4,50,3,300000,6,1
Nozevit4,51,3,250000,5,1
Fumigilin4,52,3,0,0,0
Nozevit4,53,3,100000,2,1
Nozevit2,54,3,1250000,25,1
Control,55,3,950000,19,1
Nozevit4,56,3,700000,14,1
Fumigilin4,57,3,900000,18,1
Nozevit4,58,3,1600000,32,1
Fumigilin4,59,3,3550000,71,1
Fumigilin2,60,3,0,0,0
